id,title,subtitle,poster,pubdate,url,rating,genres,star,comment,tags,star_time
3370149814,伯格曼岛,2021 / 法国 瑞典 德国 / 剧情 / 米娅·汉森-洛夫 / 薇姬·克里普斯 蒂姆·罗斯,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2681071170.jpg,2021-07-11(戛纳电影节),https://movie.douban.com/subject/26867808/,6.8,剧情,3,,,2022-05-28 02:01:59
3370147760,四海,2022 / 中国大陆 / 喜剧 动作 爱情 / 韩寒 / 刘昊然 刘浩存,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2867433563.jpg,2022-02-01(中国大陆),https://movie.douban.com/subject/35337517/,5.3,"喜剧,动作,爱情",3,我宁愿看以前的《乘风破浪》,,2022-05-28 01:58:45
3370146954,迷失之城,2022 / 美国 / 喜剧 动作 冒险 / 艾伦·尼 亚当·尼 / 桑德拉·布洛克 查宁·塔图姆,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2876461859.jpg,2022-07-29(中国大陆),https://movie.douban.com/subject/35303842/,5.3,"喜剧,动作,冒险",4,,,2022-05-28 01:57:38
3362918345,瞬息全宇宙,2022 / 美国 / 喜剧 奇幻 冒险 / 关家永 丹尼尔·施纳特 / 杨紫琼 许玮伦,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2869765076.jpg,2022-03-11(西南偏南电影节),https://movie.douban.com/subject/30314848/,7.6,"喜剧,奇幻,冒险",4,单方面宣布今年最佳，虽然故事内核还是一个亚裔家庭面对情感创伤相互疗愈的故事，不过在多元宇宙、黑客帝国、神经元、AI这些天马行空的想象力的加持下，视觉效果和画面表现确实令人眼前一亮，哪怕单单看色彩和创意就非常加分。总而言之，不要以爱的名义绑架对方、学会放手和倾听，特别是听到杨紫琼母女互相说累了的时候，那一瞬间我大概想到了什么，她当时的心境应该是差不多的，像我们那样谈恋爱确实很累啊，为什么她就不能放手呢？因为我不想放手啊……😭,,2022-05-22 00:41:33
3252643092,白日梦想家,2013 / 美国 英国 / 剧情 喜剧 冒险 / 本·斯蒂勒 / 本·斯蒂勒 克里斯汀·韦格,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2160195181.jpg,2013-12-25(美国),https://movie.douban.com/subject/2133323/,8.5,"剧情,喜剧,冒险",4,,,2022-05-06 15:53:22
3326485793,新蝙蝠侠,2022 / 美国 / 剧情 动作 犯罪 / 马特·里夫斯 / 罗伯特·帕丁森 佐伊·克罗维兹,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2868425292.jpg,2022-03-18(中国大陆),https://movie.douban.com/subject/6424756/,7.3,"剧情,动作,犯罪",3,压抑、阴暗、冗长，不喜欢,,2022-04-23 12:36:21
3320968571,烟囱小镇的普佩尔,2020 / 日本 / 剧情 动画 / 广田裕介 / 芦田爱菜 洼田正孝,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2617040828.jpg,2020-12-25(日本),https://movie.douban.com/subject/34937778/,7.2,"剧情,动画",3,,,2022-04-18 22:37:54
3320965795,西区故事,2021 / 美国 / 剧情 爱情 犯罪 / 史蒂文·斯皮尔伯格 / 安塞尔·艾尔高特 瑞秋·泽格勒,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2762894040.jpg,2021-12-10(美国),https://movie.douban.com/subject/26820621/,6,"剧情,爱情,犯罪",3,,,2022-04-18 22:36:09
3320965259,你永远比那些家伙年轻,2020 / 日本 / 剧情 / 吉野龙平 / 佐久间由衣 奈绪,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2632205763.jpg,2020-11-01(东京电影节),https://movie.douban.com/subject/34969022/,7.4,剧情,3,,,2022-04-18 22:35:48
3311070890,大象席地而坐,2018 / 中国大陆 / 剧情 / 胡波 / 彭昱畅 章宇,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2511811355.jpg,2018-02-16(柏林电影节),https://movie.douban.com/subject/27172891/,8.1,剧情,4,,,2022-04-18 22:33:36
